Activity,PricePerCoin,Time,Date,Unix,Order,Amount,Coin,Source
Buy,58891.98,5/8/21 12:20 AM,2021-05-08 00:00:00,1620490800,1015.00,0.01698194,btc,Coinbase
Mine,58984.75,2021-05-08 00:00:00,2021-05-08 00:00:00,1620446400,0,0.00109364,btc,Nicehash
Mine,55880.72,2021-05-10 00:00:00,2021-05-10 00:00:00,1620619200,0,0.00118386,btc,Nicehash
Mine,56763.70,2021-05-11 00:00:00,2021-05-11 00:00:00,1620705600,0,0.00203193,btc,Nicehash
Mine,56763.70,2021-05-12 00:00:00,2021-05-12 00:00:00,1620792000,0,0.00112023,btc,Nicehash
Move (fee),50357.17,5/13/21 10:51 AM,2021-05-13 00:00:00,1620917460,0,-0.00001738,btc,Coinbase
Mine,49880.43,2021-05-14 00:00:00,2021-05-14 00:00:00,1620964800,0,0.00181594,btc,Nicehash
Buy,48283.28,5/15/2021 9:58 PM,2021-05-15 00:00:00,1621130400,50.00,0.00099434,btc,Coinbase
Mine,46708.89,2021-05-15 00:00:00,2021-05-15 00:00:00,1621132560,0,0.00141098,btc,Nicehash
Buy,45269.82,5/16/2021 9:17 PM,2021-05-16 00:00:00,1621214220,50.00,0.00106053,btc,Coinbase
Buy,44883.42,5/17/2021 7:08 AM,2021-05-17 00:00:00,1621249680,50.00,0.00106966,btc,Coinbase
Buy,42970.02,5/17/2021 1:47 PM,2021-05-17 00:00:00,1621273620,445.00,0.01020409,btc,Coinbase
Mine,43593.39,17 May 21 6:57,2021-05-17 00:00:00,1621249020,0,0.00107232,btc,Nicehash
Mine,42877.75,18 May 21 14:00,2021-05-18 00:00:00,1621364220,0,0.00105320,btc,Nicehash
Buy,39417.01,5/19/2021 7:03 AM,2021-05-19 00:00:00,1621422180,100.00,0.00246112,btc,Coinbase
Buy,36867.24,5/19/2021 9:50 PM,2021-05-19 00:00:00,1621475400,50.00,0.00130224,btc,Coinbase
Move (fee),41259.64,5/21/2021 8:15 AM,2021-05-21 00:00:00,1621599300,0,-0.00004067,btc,Coinbase
Move (fee),41069.66,5/21/2021 8:27 AM,2021-05-21 00:00:00,1621600020,0,-0.00004066,btc,Coinbase
